"","s0"
"(Intercept)",0.18294289574257
"Avg_SugarCons_PerCapita_2019_2022",-0.00000064094207146145
"Annual_FastFood_Sales_USD",0.00000410712560060716
"Animal_Protein_Intake",0.00000120951903691565
"Avg_Fruit",0.000000321006287905678
"Avg_Vege_cons",-0.000000482250547762687
"Avg_Physical_Act2000_2030",-0.000927179252242261
"Avg_Age",-0.00000997629619050858
