"Country","cooksD"
"New Zealand",0.0841622396993556
"United States",0.0659143543012202
"Uruguay",0.0548685810984571
"Angola",0.0496136757350282
"Vietnam",0.0467980488401002
"Seychelles",0.0401535602441684
"Cuba",0.0291654979738519
"Oman",0.0287710131403926
"Nicaragua",0.0205948107201715
"United Arab Emirates",0.0163595443057529
